id,first_name,last_name,dob,employer,hire_date,state,zip_code,enrolled_plan
grp_30_2_m000,Casey,Chen,2000-01-24,grp_30_2,2022-06-19,PA,19103,
grp_30_2_m001,Reese,Moreau,1987-05-08,grp_30_2,2022-05-08,PA,19103,plan_bronze
grp_30_2_m002,Casey,Novak,1976-05-17,grp_30_2,2021-04-09,PA,19103,plan_silver
grp_30_2_m003,Skyler,Lindqvist,1980-04-19,grp_30_2,2020-02-21,PA,19103,plan_bronze
grp_30_2_m004,Rowan,Tanaka,1981-04-26,grp_30_2,2018-07-14,PA,19103,plan_gold
grp_30_2_m005,Sam,Abara,1983-07-11,grp_30_2,2025-10-29,PA,19103,plan_bronze
grp_30_2_m006,Riley,Byrne,1991-12-02,grp_30_2,2021-03-06,PA,19103,plan_bronze
grp_30_2_m007,Casey,Rivera,2001-08-26,grp_30_2,2018-05-18,PA,19103,plan_gold
grp_30_2_m008,Jamie,Chen,1996-10-15,grp_30_2,2025-07-07,PA,19103,plan_gold
grp_30_2_m009,Drew,Tanaka,1964-04-25,grp_30_2,2025-07-29,PA,19103,plan_silver
grp_30_2_m010,Avery,Lindqvist,1968-06-09,grp_30_2,2018-12-13,PA,19103,
grp_30_2_m011,Drew,Silva,1994-08-22,grp_30_2,2022-12-26,PA,19103,plan_silver
grp_30_2_m012,Jamie,Tanaka,1977-04-15,grp_30_2,2017-12-24,PA,19103,plan_bronze
grp_30_2_m013,Avery,Nguyen,1988-04-06,grp_30_2,2025-11-13,PA,19103,plan_gold
grp_30_2_m014,Rowan,Haddad,1979-05-14,grp_30_2,2022-06-13,PA,19103,plan_silver
grp_30_2_m015,Parker,Nguyen,1979-05-29,grp_30_2,2020-03-08,PA,19103,plan_gold
grp_30_2_m016,Casey,Rivera,1966-11-14,grp_30_2,2018-06-26,PA,19103,plan_bronze
grp_30_2_m017,Quinn,Rivera,1980-01-13,grp_30_2,2021-09-30,PA,19103,plan_silver
grp_30_2_m018,Skyler,Chen,1977-05-08,grp_30_2,2023-08-03,PA,19103,
grp_30_2_m019,Sam,Moreau,1966-09-11,grp_30_2,2020-06-03,PA,19103,plan_gold
grp_30_2_m020,Taylor,Kowalski,1967-08-24,grp_30_2,2024-07-22,PA,19103,plan_gold
grp_30_2_m021,Skyler,Abara,1964-12-09,grp_30_2,2017-10-22,PA,19103,plan_silver
grp_30_2_m022,Quinn,Kowalski,1985-06-12,grp_30_2,2023-04-29,PA,19103,plan_gold
grp_30_2_m023,Sam,Okafor,1965-03-07,grp_30_2,2019-06-19,PA,19103,plan_gold
grp_30_2_m024,Cameron,Patel,1981-09-04,grp_30_2,2017-12-23,PA,19103,plan_silver
grp_30_2_m025,Parker,Silva,1982-11-13,grp_30_2,2022-03-27,PA,19103,plan_silver
grp_30_2_m026,Morgan,Okafor,1971-05-08,grp_30_2,2020-12-21,PA,19103,plan_silver
grp_30_2_m027,Jordan,Haddad,1965-04-28,grp_30_2,2022-11-06,PA,19103,plan_silver
grp_30_2_m028,Drew,Byrne,1977-05-08,grp_30_2,2020-01-19,PA,19103,plan_silver
grp_30_2_m029,Cameron,Tanaka,1974-09-13,grp_30_2,2024-10-17,PA,19103,plan_silver
