id,member,first_name,last_name,dob,member_relationship
grp_30_2_m001_sp,grp_30_2_m001,Jordan,Moreau,1983-01-18,spouse
grp_30_2_m001_c0,grp_30_2_m001,Reese,Moreau,2013-03-28,child
grp_30_2_m001_c1,grp_30_2_m001,Avery,Moreau,2011-12-14,child
grp_30_2_m002_sp,grp_30_2_m002,Casey,Novak,1978-09-05,spouse
grp_30_2_m002_c0,grp_30_2_m002,Morgan,Novak,2020-04-14,child
grp_30_2_m002_c1,grp_30_2_m002,Reese,Novak,2009-04-12,child
grp_30_2_m003_c0,grp_30_2_m003,Cameron,Lindqvist,2020-05-09,child
grp_30_2_m003_c1,grp_30_2_m003,Jamie,Lindqvist,2005-04-25,child
grp_30_2_m005_c0,grp_30_2_m005,Skyler,Abara,2017-07-26,child
grp_30_2_m005_c1,grp_30_2_m005,Parker,Abara,2016-07-25,child
grp_30_2_m005_c2,grp_30_2_m005,Skyler,Abara,2019-04-14,child
grp_30_2_m006_sp,grp_30_2_m006,Jordan,Byrne,1992-03-04,spouse
grp_30_2_m006_c0,grp_30_2_m006,Morgan,Byrne,2013-08-17,child
grp_30_2_m008_sp,grp_30_2_m008,Alex,Chen,1996-08-23,spouse
grp_30_2_m008_c0,grp_30_2_m008,Alex,Chen,2023-06-18,child
grp_30_2_m011_c0,grp_30_2_m011,Taylor,Silva,2020-12-19,child
grp_30_2_m011_c1,grp_30_2_m011,Morgan,Silva,2018-04-11,child
grp_30_2_m011_c2,grp_30_2_m011,Cameron,Silva,2016-04-26,child
grp_30_2_m011_c3,grp_30_2_m011,Drew,Silva,2017-10-19,child
grp_30_2_m012_sp,grp_30_2_m012,Morgan,Tanaka,1972-12-02,spouse
grp_30_2_m012_c0,grp_30_2_m012,Casey,Tanaka,2020-11-12,child
grp_30_2_m013_c0,grp_30_2_m013,Reese,Nguyen,2018-08-23,child
grp_30_2_m014_sp,grp_30_2_m014,Sam,Haddad,1981-11-09,spouse
grp_30_2_m014_c0,grp_30_2_m014,Jamie,Haddad,2001-11-08,child
grp_30_2_m018_sp,grp_30_2_m018,Riley,Chen,1972-12-23,spouse
grp_30_2_m019_sp,grp_30_2_m019,Quinn,Moreau,1971-06-25,spouse
grp_30_2_m020_sp,grp_30_2_m020,Rowan,Kowalski,1970-07-09,spouse
grp_30_2_m021_sp,grp_30_2_m021,Cameron,Abara,1966-01-12,spouse
grp_30_2_m022_c0,grp_30_2_m022,Skyler,Kowalski,2017-04-06,child
grp_30_2_m022_c1,grp_30_2_m022,Parker,Kowalski,2010-04-25,child
grp_30_2_m024_c0,grp_30_2_m024,Sam,Patel,2023-01-18,child
grp_30_2_m024_c1,grp_30_2_m024,Jordan,Patel,2005-10-27,child
grp_30_2_m025_sp,grp_30_2_m025,Quinn,Silva,1986-10-14,spouse
grp_30_2_m026_sp,grp_30_2_m026,Casey,Okafor,1969-09-02,spouse
grp_30_2_m028_c0,grp_30_2_m028,Sam,Byrne,2015-09-08,child
grp_30_2_m028_c1,grp_30_2_m028,Riley,Byrne,2008-06-08,child
grp_30_2_m028_c2,grp_30_2_m028,Cameron,Byrne,2004-02-10,child
grp_30_2_m029_sp,grp_30_2_m029,Taylor,Tanaka,1979-06-09,spouse
